,type,name,track_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
102,bay_area,Lil Los,Made Like This,spotify:track:0cDtH9bkZc50qqDDzn6gZr,0.609,0.653,5,-8.767,0,0.316,0.821,1.57e-05,0.0609,0.776,79.83,207517,4
103,bay_area,Lil Los,Loyalty (Feat. Lil Los),spotify:track:43edNkQa0G0EeeWZP32G8G,0.665,0.897,0,-2.566,1,0.0471,0.109,0.0,0.623,0.809,92.017,296133,4
104,bay_area,Lil Los,Yoc Influenced (Feat. Lil Los),spotify:track:7hJ1su4TcICRnlpDfr3YGk,0.72,0.669,2,-8.112,1,0.224,0.00797,1e-05,0.0895,0.774,171.928,236200,4
105,bay_area,Lil Los,Shits Gone Strange (Feat. Lil Los),spotify:track:2ufVaI9jd5gKMxHG9fKNHx,0.838,0.771,8,-6.212,0,0.112,0.128,0.0,0.187,0.484,92.043,149240,4
106,bay_area,Lil Los,Dirty Deeds (Feat. Lil Los & Shadow),spotify:track:6K0MKMu3IvMPEgdH6ges2N,0.775,0.749,1,-6.216,0,0.152,0.0645,0.00164,0.101,0.496,93.039,334827,4
107,bay_area,Lil Los,What You Know About Me (feat. Lil los & Lou e Lou),spotify:track:6u3F1ZVJLB9xvu6cXAs1Kx,0.78,0.777,9,-5.63,0,0.124,0.148,1.48e-06,0.104,0.743,94.029,293307,4
108,bay_area,Lil Los,-N- The Bay (Feat. Lil Los),spotify:track:6uHnddovWLXWbLYVWaZh9J,0.636,0.756,7,-5.243,1,0.203,0.128,0.0,0.798,0.461,83.892,254213,4
109,bay_area,Lil Los,"Fuck How You Feelin (Feat. X.O., Lil Los, B-Dawg, Shadow & Woodie)",spotify:track:6jv0cEMyl87DJED7AGzN0Y,0.728,0.625,6,-5.623,0,0.303,0.00261,0.0,0.111,0.723,167.966,311827,4
110,bay_area,Casper Locs,Devils Knocking at the Door,spotify:track:7gQtr4croqnuO9QrPL9qmR,0.734,0.764,11,-5.616,0,0.242,0.187,0.0,0.0872,0.717,79.978,276872,3
111,bay_area,Casper Locs,Springfield,spotify:track:4EWctyH3UoglHbKt8lzQs8,0.861,0.799,6,-7.885,0,0.131,0.00274,0.0,0.354,0.536,103.913,184500,4
112,bay_area,Casper Locs,Let It Play,spotify:track:0BUec07mA6y1fcNvALmaKY,0.944,0.662,10,-6.193,0,0.228,0.0664,1.52e-06,0.0963,0.194,110.017,158250,4
113,bay_area,Casper Locs,All I Know,spotify:track:3jBiLcYmjtztMujthqWDuZ,0.722,0.83,4,-6.346,0,0.377,0.155,0.0,0.244,0.693,160.059,339383,4
114,bay_area,Casper Locs,God 4gives Gangsters Don't,spotify:track:23DdW4cmbNZO3Ivtmd7l4j,0.73,0.651,4,-5.341,0,0.273,0.236,0.0,0.38,0.535,164.058,257750,4
115,bay_area,Casper Locs,Streets Raised Me,spotify:track:47I3WlSWv2Nx4eAvO5W0n6,0.584,0.684,6,-8.795,1,0.46,0.511,0.0,0.302,0.331,94.002,289750,4
116,bay_area,Casper Locs,Baby I'm Polo,spotify:track:2AoSMR6OWZ0lPlyZBlFR8R,0.926,0.553,9,-9.001,0,0.334,0.258,0.0,0.0644,0.306,100.001,250087,4
